Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Helping Hands Ministry F2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.0,303.0,1075.0,0.0,2135.0,1601.0,944.0,764.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.0,-1133.0,772.0,-1075.0,2135.0,-534.0,-657.0,-180.0,-432.0,-332.0
Homestead Recovery for Women,243.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,594.0,387.0,407.0,389.0,895.0,757.0,1142.0,359.0,720.0,861.0,230.0,103.0,0.0,0.0,0.0,185.0,0.0,143.0,0.0,0.0,0.0,0.0,984.0,0.0,300.0,343.0,-243.0,148.0,-148.0,148.0,-148.0,0.0,0.0,0.0,0.0,594.0,-207.0,20.0,-18.0,506.0,-138.0,385.0,-783.0,361.0,141.0,-631.0,-127.0,-103.0,0.0,0.0,185.0,-185.0,143.0,-143.0,0.0,0.0,0.0,984.0,-984.0,300.0,43.0
Life Church Baldwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3385.0,3235.0,3921.0,4566.0,4623.0,3581.0,3203.0,1861.0,2311.0,5850.0,2697.0,5253.0,219.0,2589.0,3819.0,3245.0,2891.0,2630.0,2472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3385.0,-150.0,686.0,645.0,57.0,-1042.0,-378.0,-1342.0,450.0,3539.0,-3153.0,2556.0,-5034.0,2370.0,1230.0,-574.0,-354.0,-261.0,-158.0
Mount Airy Baptist Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,693.0,424.0,327.0,381.0,0.0,1648.0,-855.0,260.0,229.0,155.0,871.0,292.0,0.0,460.0,1906.0,0.0,772.0,0.0,675.0,580.0,505.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,-677.0,-269.0,-97.0,54.0,-381.0,1648.0,-2503.0,1115.0,-31.0,-74.0,716.0,-579.0,-292.0,460.0,1446.0,-1906.0,772.0,-772.0,675.0,-95.0,-75.0,122.0
Neighbors 4 Neighbors-NGTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-625.0,670.0
Open Door Food Ministry (The Torch Church of God),41399.0,56170.0,52872.0,60724.0,46808.0,47983.0,42999.0,39866.0,46969.0,45284.0,46512.0,50567.0,45538.0,66691.0,38520.0,80529.0,84137.0,51915.0,54032.0,66989.0,64409.0,57610.0,98680.0,23603.0,51371.0,74118.0,53097.0,66536.0,68151.0,58932.0,53487.0,60951.0,83581.0,54072.0,60311.0,88457.0,14771.0,-3298.0,7852.0,-13916.0,1175.0,-4984.0,-3133.0,7103.0,-1685.0,1228.0,4055.0,-5029.0,21153.0,-28171.0,42009.0,3608.0,-32222.0,2117.0,12957.0,-2580.0,-6799.0,41070.0,-75077.0,27768.0,22747.0,-21021.0,13439.0,1615.0,-9219.0,-5445.0,7464.0,22630.0,-29509.0,6239.0,28146.0
"Pilgrim Ministries, Inc.",1556.0,1139.0,1123.0,823.0,299.0,294.0,1337.0,490.0,867.0,508.0,827.0,124.0,734.0,309.0,576.0,816.0,100.0,400.0,315.0,213.0,347.0,766.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-417.0,-16.0,-300.0,-524.0,-5.0,1043.0,-847.0,377.0,-359.0,319.0,-703.0,610.0,-425.0,267.0,240.0,-716.0,300.0,-85.0,-102.0,134.0,419.0,-612.0,-154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
River Congregational Holiness Church,89.0,945.0,43.0,155.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856.0,-902.0,112.0,-155.0,0.0,40.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,243.0,-296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharing and Caring - Clarkesville,2345.0,5393.0,2694.0,3462.0,922.0,2012.0,2679.0,1024.0,1761.0,1564.0,2010.0,1728.0,3200.0,2809.0,1657.0,2249.0,2097.0,1464.0,1543.0,2923.0,2769.0,3331.0,3206.0,1204.0,3102.0,3829.0,1930.0,4431.0,4345.0,1081.0,3216.0,4546.0,3767.0,3283.0,1987.0,2620.0,3048.0,-2699.0,768.0,-2540.0,1090.0,667.0,-1655.0,737.0,-197.0,446.0,-282.0,1472.0,-391.0,-1152.0,592.0,-152.0,-633.0,79.0,1380.0,-154.0,562.0,-125.0,-2002.0,1898.0,727.0,-1899.0,2501.0,-86.0,-3264.0,2135.0,1330.0,-779.0,-484.0,-1296.0,633.0
Sharing and Caring - Cornelia,335.0,2530.0,1485.0,0.0,1430.0,3548.0,0.0,905.0,793.0,1264.0,1378.0,2045.0,2753.0,1496.0,2538.0,4828.0,5108.0,1702.0,2625.0,4645.0,3009.0,1006.0,5840.0,407.0,4105.0,1985.0,2640.0,4893.0,1818.0,3331.0,4715.0,3702.0,1395.0,775.0,3105.0,2087.0,2195.0,-1045.0,-1485.0,1430.0,2118.0,-3548.0,905.0,-112.0,471.0,114.0,667.0,708.0,-1257.0,1042.0,2290.0,280.0,-3406.0,923.0,2020.0,-1636.0,-2003.0,4834.0,-5433.0,3698.0,-2120.0,655.0,2253.0,-3075.0,1513.0,1384.0,-1013.0,-2307.0,-620.0,2330.0,-1018.0
The Everyday Good F2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,5719.0,3280.0,303.0,13933.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,4903.0,-2439.0,-2977.0,13630.0,-13887.0
"The Lord's Help, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,88.0,0.0,181.0,387.0,1185.0,687.0,903.0,747.0,492.0,360.0,670.0,561.0,492.0,855.0,1379.0,1827.0,1207.0,1961.0,2573.0,1342.0,1351.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,-104.0,0.0,0.0,57.0,-57.0,0.0,0.0,88.0,-88.0,181.0,206.0,798.0,-498.0,216.0,-156.0,-255.0,-132.0,310.0,-109.0,-69.0,363.0,524.0,448.0,-620.0,754.0,612.0,-1231.0,9.0
Victory Home / Helping Hand,1844.0,2975.0,2262.0,1649.0,957.0,1945.0,1560.0,1576.0,1705.0,1012.0,971.0,549.0,764.0,1257.0,416.0,877.0,891.0,765.0,1898.0,1576.0,883.0,1115.0,1077.0,1269.0,1831.0,1413.0,1361.0,1680.0,1377.0,1183.0,1976.0,2819.0,1344.0,1177.0,1197.0,1858.0,1131.0,-713.0,-613.0,-692.0,988.0,-385.0,16.0,129.0,-693.0,-41.0,-422.0,215.0,493.0,-841.0,461.0,14.0,-126.0,1133.0,-322.0,-693.0,232.0,-38.0,192.0,562.0,-418.0,-52.0,319.0,-303.0,-194.0,793.0,843.0,-1475.0,-167.0,20.0,661.0
