Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Meadow Baptist Church,725.0,476.0,699.0,1214.0,792.0,708.0,821.0,613.0,737.0,577.0,649.0,1001.0,527.0,838.0,646.0,920.0,1091.0,1370.0,2354.0,591.0,936.0,779.0,958.0,671.0,662.0,1223.0,1094.0,1662.0,1628.0,1559.0,832.0,1551.0,1079.0,896.0,1084.0,887.0,-249.0,223.0,515.0,-422.0,-84.0,113.0,-208.0,124.0,-160.0,72.0,352.0,-474.0,311.0,-192.0,274.0,171.0,279.0,984.0,-1763.0,345.0,-157.0,179.0,-287.0,-9.0,561.0,-129.0,568.0,-34.0,-69.0,-727.0,719.0,-472.0,-183.0,188.0,-197.0
Moons Grove Baptist Church,254.0,465.0,355.0,575.0,405.0,468.0,0.0,0.0,376.0,432.0,569.0,295.0,312.0,206.0,0.0,996.0,1173.0,179.0,520.0,640.0,357.0,778.0,947.0,514.0,944.0,909.0,1112.0,1006.0,1077.0,202.0,840.0,227.0,500.0,142.0,443.0,477.0,211.0,-110.0,220.0,-170.0,63.0,-468.0,0.0,376.0,56.0,137.0,-274.0,17.0,-106.0,-206.0,996.0,177.0,-994.0,341.0,120.0,-283.0,421.0,169.0,-433.0,430.0,-35.0,203.0,-106.0,71.0,-875.0,638.0,-613.0,273.0,-358.0,301.0,34.0
Moons Grove Baptist Church (There's Hope For the Hungry),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,0.0,11939.0,0.0,15462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,-11250.0,0.0,0.0,0.0,0.0,11939.0,-11939.0,15462.0,-15462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Bethel CH Church,352.0,0.0,0.0,925.0,1401.0,1053.0,0.0,421.0,462.0,541.0,0.0,688.0,922.0,1260.0,1108.0,1840.0,0.0,797.0,0.0,1443.0,0.0,0.0,232.0,0.0,2816.0,737.0,405.0,586.0,409.0,497.0,1619.0,3172.0,696.0,0.0,0.0,1227.0,-352.0,0.0,925.0,476.0,-348.0,-1053.0,421.0,41.0,79.0,-541.0,688.0,234.0,338.0,-152.0,732.0,-1840.0,797.0,-797.0,1443.0,-1443.0,0.0,232.0,-232.0,2816.0,-2079.0,-332.0,181.0,-177.0,88.0,1122.0,1553.0,-2476.0,-696.0,0.0,1227.0
Riverside Baptist Church,0.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,-1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roger's Baptist Church,1562.0,1730.0,1888.0,1871.0,1960.0,2199.0,1280.0,1566.0,2292.0,1820.0,1909.0,2398.0,1631.0,1755.0,1786.0,1638.0,2873.0,1987.0,2870.0,2115.0,2336.0,2788.0,3602.0,2113.0,2212.0,2582.0,2784.0,2967.0,3087.0,2742.0,0.0,2577.0,2751.0,2541.0,2425.0,2110.0,168.0,158.0,-17.0,89.0,239.0,-919.0,286.0,726.0,-472.0,89.0,489.0,-767.0,124.0,31.0,-148.0,1235.0,-886.0,883.0,-755.0,221.0,452.0,814.0,-1489.0,99.0,370.0,202.0,183.0,120.0,-345.0,-2742.0,2577.0,174.0,-210.0,-116.0,-315.0
Tabors Chapel CME Church,937.0,1719.0,612.0,2577.0,3095.0,474.0,1966.0,336.0,893.0,456.0,1506.0,1636.0,863.0,984.0,699.0,822.0,1409.0,1576.0,2031.0,2557.0,2610.0,5668.0,1271.0,1506.0,3700.0,2535.0,2117.0,4029.0,2369.0,1785.0,2916.0,2473.0,2503.0,2110.0,2272.0,2059.0,782.0,-1107.0,1965.0,518.0,-2621.0,1492.0,-1630.0,557.0,-437.0,1050.0,130.0,-773.0,121.0,-285.0,123.0,587.0,167.0,455.0,526.0,53.0,3058.0,-4397.0,235.0,2194.0,-1165.0,-418.0,1912.0,-1660.0,-584.0,1131.0,-443.0,30.0,-393.0,162.0,-213.0
Union Baptist Church,566.0,345.0,0.0,448.0,596.0,0.0,312.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,809.0,439.0,0.0,200.0,451.0,329.0,0.0,0.0,0.0,0.0,550.0,0.0,389.0,0.0,0.0,227.0,0.0,354.0,0.0,0.0,0.0,0.0,-221.0,-345.0,448.0,148.0,-596.0,312.0,-312.0,549.0,-549.0,0.0,0.0,0.0,0.0,809.0,-370.0,-439.0,200.0,251.0,-122.0,-329.0,0.0,0.0,0.0,550.0,-550.0,389.0,-389.0,0.0,227.0,-227.0,354.0,-354.0,0.0,0.0,0.0
Waggoners Grove Baptist Church,1909.0,27.0,908.0,838.0,28992.0,14573.0,3394.0,281.0,2905.0,3462.0,3580.0,2212.0,5434.0,5886.0,37814.0,7396.0,7989.0,8022.0,9688.0,7664.0,4558.0,3211.0,1993.0,3160.0,5414.9,8540.0,8436.0,7609.0,4919.0,1067.0,7574.0,10199.0,43153.0,5723.0,6465.0,6824.5599999999995,-1882.0,881.0,-70.0,28154.0,-14419.0,-11179.0,-3113.0,2624.0,557.0,118.0,-1368.0,3222.0,452.0,31928.0,-30418.0,593.0,33.0,1666.0,-2024.0,-3106.0,-1347.0,-1218.0,1167.0,2254.8999999999996,3125.1000000000004,-104.0,-827.0,-2690.0,-3852.0,6507.0,2625.0,32954.0,-37430.0,742.0,359.5599999999995
Word of Life Church,1156.0,1503.0,1170.0,1105.0,1348.0,744.0,1366.0,1204.0,1325.0,827.0,1278.0,1147.0,989.0,1666.0,974.0,1118.0,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,-333.0,-65.0,243.0,-604.0,622.0,-162.0,121.0,-498.0,451.0,-131.0,-158.0,677.0,-692.0,144.0,-41.0,-1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
