Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Clarke Central School Food Pantry,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,-240.0,0.0,0.0,0.0,0.0,80.0,-80.0,0.0,0.0,0.0,0.0,708.0,-708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarke County MedLink Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11482.0,-11482.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarke County Sheriff's Office,0.0,0.0,0.0,0.0,12382.0,5328.0,0.0,0.0,0.0,6710.0,0.0,0.0,5108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.0,-7054.0,-5328.0,0.0,0.0,6710.0,-6710.0,0.0,5108.0,-5108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarke: ACCA Senior Staples Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612.0,4746.0,0.0,0.0,0.0,4620.0,148.0,7012.0,272.0,879.0,432.0,2493.0,5364.0,3374.0,2586.0,2162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612.0,3134.0,-4746.0,0.0,0.0,4620.0,-4472.0,6864.0,-6740.0,607.0,-447.0,2061.0,2871.0,-1990.0,-788.0,-424.0,-2162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarke: Winterville FBC Senior Staples Program,1190.0,0.0,1052.0,607.0,2290.0,0.0,1084.0,926.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1190.0,1052.0,-445.0,1683.0,-2290.0,1084.0,-158.0,654.0,-1580.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,-302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornerstone Food Pantry,10966.0,32286.0,33585.0,30156.0,25081.0,35798.0,27342.0,28045.0,24627.0,25859.0,23143.0,28656.0,33663.0,32424.0,42115.0,48170.0,39493.0,39554.0,40144.0,40569.0,33417.0,39439.0,44301.0,50334.0,47231.0,56178.0,55114.0,51230.0,51673.0,54916.0,43542.0,53296.0,49726.0,48008.0,61474.0,64332.0,21320.0,1299.0,-3429.0,-5075.0,10717.0,-8456.0,703.0,-3418.0,1232.0,-2716.0,5513.0,5007.0,-1239.0,9691.0,6055.0,-8677.0,61.0,590.0,425.0,-7152.0,6022.0,4862.0,6033.0,-3103.0,8947.0,-1064.0,-3884.0,443.0,3243.0,-11374.0,9754.0,-3570.0,-1718.0,13466.0,2858.0
Covenant Presbyterian Church,10646.0,10707.0,15250.0,14408.0,8824.0,15054.0,10399.0,9552.0,9658.0,8404.0,10792.0,13613.0,8501.0,11064.0,11198.0,8743.0,15552.0,10808.0,12844.0,17746.0,17362.0,13456.0,13545.0,10421.17,9215.0,16530.0,10199.0,10261.0,14448.0,11696.0,17678.0,18672.0,13121.0,11954.0,15813.0,9658.12,61.0,4543.0,-842.0,-5584.0,6230.0,-4655.0,-847.0,106.0,-1254.0,2388.0,2821.0,-5112.0,2563.0,134.0,-2455.0,6809.0,-4744.0,2036.0,4902.0,-384.0,-3906.0,89.0,-3123.83,-1206.17,7315.0,-6331.0,62.0,4187.0,-2752.0,5982.0,994.0,-5551.0,-1167.0,3859.0,-6154.879999999999
Cultivating a Lifetime of Legacy Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.0,636.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.0,-635.0,-636.0,0.0,159.0,-159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DECAL Grant Barnett Shoals School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,699.0,622.0,977.0,842.0,897.0,1389.0,1410.0,3020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,-1371.0,-77.0,355.0,-135.0,55.0,492.0,21.0,1610.0,-3020.0,0.0
DECAL Grant Fowler Elementary School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0,1018.0,0.0,680.0,0.0,0.0,0.0,2558.0,14655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0,-1078.0,-1018.0,680.0,-680.0,0.0,0.0,2558.0,12097.0,-14655.0,0.0
