County,Agency,Time,dist_volume,delta,pct_change,expected_seasonal,residual,robust_z,yoy_pct_change,iso_label,iso_score,reasons
Banks,DECAL Grant Banks Elementary School  ,2024-11,1345.0,1345.0,inf,,,0.0,inf,-1,-0.042144918555985456,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Elementary School  ,2024-12,988.0,-357.0,-0.265,,,0.0,inf,1,0.002341511045443223,YOY=inf
Banks,DECAL Grant Banks Elementary School  ,2025-01,1280.0,292.0,0.296,,,0.0,inf,-1,-0.005756224767653251,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Elementary School  ,2025-02,932.0,-348.0,-0.272,,,0.0,inf,-1,-0.04739824123896452,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Elementary School  ,2025-03,1732.0,800.0,0.858,,,0.0,inf,-1,-0.06812460517581875,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Elementary School  ,2025-04,1367.0,-365.0,-0.211,,,0.0,inf,-1,-0.009924037655400952,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Elementary School  ,2025-05,1049.0,-318.0,-0.233,,,0.0,inf,1,0.012249936528831051,YOY=inf
Banks,DECAL Grant Banks Elementary School  ,2025-06,0.0,-1049.0,-1.0,,,0.0,0.0,-1,-0.21728652181221542,ISOFOREST
Banks,DECAL Grant Banks Head Start,2024-08,410.0,410.0,inf,,,0.0,inf,-1,-0.10269801334915285,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2024-09,1398.0,988.0,2.41,,,0.0,inf,-1,-0.11329904333386431,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2024-10,658.0,-740.0,-0.529,,,0.0,inf,-1,-0.19027716504371384,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2024-11,1380.0,722.0,1.097,,,0.0,inf,-1,-0.047173413260926056,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2024-12,988.0,-392.0,-0.284,,,0.0,inf,-1,-0.07181956541234946,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2025-01,1318.0,330.0,0.334,,,0.0,inf,-1,-0.0021614717798897898,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2025-02,1538.0,220.0,0.167,,,0.0,inf,1,0.00040981264205403045,YOY=inf
Banks,DECAL Grant Banks Head Start,2025-03,1705.0,167.0,0.109,,,0.0,inf,-1,-0.06943702135436025,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2025-04,1219.0,-486.0,-0.285,,,0.0,inf,-1,-0.09141931324059471,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2025-05,1523.0,304.0,0.249,,,0.0,inf,-1,-0.00030110570493746547,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Head Start,2025-06,0.0,-1523.0,-1.0,,,0.0,0.0,-1,-0.29954440749193767,ISOFOREST
Banks,DECAL Grant Banks High School,2024-08,3262.0,3262.0,inf,,,0.0,inf,-1,-0.19926191545567418,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks High School,2024-09,887.0,-2375.0,-0.728,,,0.0,inf,-1,-0.18575018890005446,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks High School,2024-10,0.0,-887.0,-1.0,,,0.0,0.0,-1,-0.21258241288778568,ISOFOREST
Banks,DECAL Grant Banks High School,2024-11,1303.0,1303.0,inf,,,0.0,inf,-1,-0.031131540956554904,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks High School,2024-12,892.0,-411.0,-0.315,,,0.0,inf,-1,-0.09144330382690313,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks High School,2025-01,1280.0,388.0,0.435,,,0.0,inf,1,0.01824039850155129,YOY=inf
Banks,DECAL Grant Banks High School,2025-02,1389.0,109.0,0.085,,,0.0,inf,1,0.01221967714582084,YOY=inf
Banks,DECAL Grant Banks High School,2025-03,1732.0,343.0,0.247,,,0.0,inf,-1,-0.029901525045382127,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks High School,2025-04,1357.0,-375.0,-0.217,,,0.0,inf,-1,-0.027809770897484487,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks High School,2025-05,2918.0,1561.0,1.15,,,0.0,inf,-1,-0.12404681278779461,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks High School,2025-06,0.0,-2918.0,-1.0,,,0.0,0.0,-1,-0.23965296256675672,ISOFOREST
Banks,DECAL Grant Banks Primary School,2024-08,3262.0,3262.0,inf,,,0.0,inf,-1,-0.23705592646743656,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Primary School,2024-09,887.0,-2375.0,-0.728,,,0.0,inf,-1,-0.19712372487555363,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Primary School,2024-10,0.0,-887.0,-1.0,,,0.0,0.0,-1,-0.21258241288778568,ISOFOREST
Banks,DECAL Grant Banks Primary School,2024-11,1303.0,1303.0,inf,,,0.0,inf,-1,-0.0487021073216406,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Primary School,2024-12,1015.0,-288.0,-0.221,,,0.0,inf,-1,-0.08695851717683079,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Primary School,2025-01,1280.0,265.0,0.261,,,0.0,inf,1,0.031130291678817645,YOY=inf
Banks,DECAL Grant Banks Primary School,2025-02,1538.0,258.0,0.202,,,0.0,inf,1,0.03878327165487139,YOY=inf
Banks,DECAL Grant Banks Primary School,2025-03,1722.0,184.0,0.12,,,0.0,inf,1,0.009044512574340025,YOY=inf
Banks,DECAL Grant Banks Primary School,2025-04,1568.0,-154.0,-0.089,,,0.0,inf,-1,-0.02066057799997334,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Primary School,2025-05,2090.0,522.0,0.333,,,0.0,inf,-1,-0.051311535571252676,YOY=inf; ISOFOREST
Banks,DECAL Grant Banks Primary School,2025-06,0.0,-2090.0,-1.0,,,0.0,0.0,-1,-0.2315859948509652,ISOFOREST
Banks,Damascus Baptist Church,2023-02,524.0,-829.0,-0.613,,,0.0,,-1,-0.05390365765159699,ISOFOREST
Banks,Damascus Baptist Church,2024-02,1449.0,329.0,0.294,,,0.0,1.765267175572519,1,0.03723693443562248,YOY=1.77
Banks,Damascus Baptist Church,2024-05,3053.0,2090.0,2.17,,,0.0,6.410194174757281,-1,-0.22905558581347274,YOY=6.41; ISOFOREST
Banks,Damascus Baptist Church,2024-06,1505.0,-1548.0,-0.507,,,0.0,0.5563598759048604,-1,-0.008885262053117904,ISOFOREST
Banks,Damascus Baptist Church,2024-08,1666.0,250.0,0.177,,,0.0,1.1222929936305732,1,0.07921004836680307,YOY=1.12
Banks,Damascus Baptist Church,2024-10,2652.0,1121.0,0.732,,,0.0,2.0,-1,-0.07662843602490432,YOY=2.00; ISOFOREST
Banks,Damascus Baptist Church,2024-12,2690.0,757.0,0.392,,,0.0,0.9024045261669024,-1,-0.013710152366805173,ISOFOREST
Banks,Damascus Baptist Church,2025-01,0.0,-2690.0,-1.0,,,0.0,-1.0,-1,-0.2760411451536485,YOY=-1.00; ISOFOREST
Banks,Damascus Baptist Church,2025-03,2034.0,1494.0,2.767,,,0.0,0.3268101761252446,-1,-0.04805172051511153,ISOFOREST
Banks,Food 2 Kids Banks County,2022-09,0.0,-6000.0,-1.0,,,0.0,,-1,-0.11411947200151495,ISOFOREST
Banks,Food 2 Kids Banks County,2023-05,1950.0,-1950.0,-0.5,,,0.0,,-1,-0.028897031829089315,ISOFOREST
Banks,Food 2 Kids Banks County,2023-07,0.0,-2600.0,-1.0,,,0.0,0.0,-1,-0.1151879857465804,ISOFOREST
Banks,Food 2 Kids Banks County,2023-08,0.0,0.0,0.0,,,0.0,-1.0,1,0.0435135759771057,YOY=-1.00
Banks,Food 2 Kids Banks County,2023-09,16946.0,16946.0,inf,,,0.0,inf,1,0.030504608566603086,YOY=inf
Banks,Food 2 Kids Banks County,2023-10,10244.0,-6702.0,-0.395,,,0.0,3.114056224899598,1,0.009471473197518121,YOY=3.11
Banks,Food 2 Kids Banks County,2023-11,20768.0,10524.0,1.027,,,0.0,7.564123711340206,1,0.06965919810785626,YOY=7.56
Banks,Food 2 Kids Banks County,2023-12,14862.0,-5906.0,-0.284,,,0.0,3.572923076923077,1,0.057041879839228316,YOY=3.57
Banks,Food 2 Kids Banks County,2024-01,21948.0,7086.0,0.477,,,0.0,10.255384615384616,1,0.0755621535567555,YOY=10.26
Banks,Food 2 Kids Banks County,2024-02,17153.0,-4795.0,-0.218,,,0.0,5.597307692307692,1,0.0634214635526798,YOY=5.60
Banks,Food 2 Kids Banks County,2024-03,18059.0,906.0,0.053,,,0.0,5.945769230769231,1,0.08294112816186355,YOY=5.95
