Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
722,182357,8975,M-136,Miracles Happen Recovery Residence INC,FAIMPORT484961,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCC-07-10001,15,0,0,0.0,15,STEPHENS,0.0,6/15/2024 0:00,6/15/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",Dairy
760,179450,1791,T-121,The Hope Center (Toccoa Soup Kitchen),482063,,OP/USDA,SOUP KITCHEN-Agency,USDA,N-50-10079,1,0,0,4.68,26,STEPHENS,0.18,4/26/2024 14:55,4/26/2024 7:12,Price Code 1,TRUCK 1,False,Rabun Warehouse,02,30577.0,Toccoa,USDA WALNUT HALVES AND PIECES,Proteins
722,181521,8970,M-136,Miracles Happen Recovery Residence INC,FAIMPORT484125,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCW-16-10001,15,0,0,0.0,15,STEPHENS,0.0,5/23/2024 0:00,5/23/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"MISC. FOOD BOX, SHL RETAIL PICKUP",Food Misc.
1028,181870,688,V-107,Voice of Hope SDA Church,484474,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-01-10000,45,0,0,0.0,45,STEPHENS,0.0,6/4/2024 8:52,6/4/2024 9:04,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30577.0,Toccoa,"ASSORTED NON-FOOD ITEMS, SHL",Non-Food Misc.
522,172917,683,C-159,Camp Toccoa (Camp Fire GA),476548,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-16-10001,47,0,0,8.46,47,STEPHENS,0.18,1/11/2024 8:05,1/11/2024 9:26,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,MISC. FOOD BOX SHL,Food Misc.
434,176690,690,P-114,Paradise Mountain Ministries,479313,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-03-10013,22,0,0,0.66,22,STEPHENS,0.03,3/5/2024 13:42,3/5/2024 11:43,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED BEVERAGES, SHL",Beverages
434,179042,5938,P-114,Paradise Mountain Ministries,481656,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,C-28-10001,265,0,0,7.95,265,STEPHENS,0.03,4/16/2024 13:42,4/16/2024 11:52,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"PRODUCE, FRESH SHL",Mixed Produce
704,181258,5388,Z-100,Zebulon Baptist Church,483863,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,96,0,0,17.28,96,STEPHENS,0.18,5/23/2024 8:46,5/23/2024 13:30,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED FROZEN FOODS, SHL",Food Misc.
546,179145,683,H-137,Hill Street Baptist Church,481758,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-16-10001,191,0,0,34.38,191,STEPHENS,0.18,4/18/2024 15:21,4/18/2024 8:18,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,MISC. FOOD BOX SHL,Food Misc.
1046,182389,7202,G-136,"Greater Hearts Outreach Ministries, Inc.",484993,,FP/GNAP/USDA,FAITH-BASED-Agency,GNAP,N-40-10242,6,0,0,0.0,96,STEPHENS,0.0,6/26/2024 11:00,6/26/2024 17:02,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP STRAWBERRY JELLY,Food Misc.
1042,180369,4269,H-160,HighPoint Community Worship Center,482975,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10273,7,0,0,30.24,168,STEPHENS,0.18,5/10/2024 9:45,5/10/2024 9:30,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,USDA DRY NAVY BEANS CCC,Proteins
1044,181246,5938,C-185,The Center for Wellness and Recovery (Toccoa),483851,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-28-10001,81,0,0,2.43,81,STEPHENS,0.03,5/23/2024 10:33,5/23/2024 10:36,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30577.0,Toccoa,"PRODUCE, FRESH SHL",Mixed Produce
