Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
813,175145,5407,J-111,The Jericho House,477774,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,F-15-10000,171,0,0,30.78,171,WHITE,0.18,2/5/2024 11:09,2/5/2024 14:34,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30571.0,Sautee - Nacoochee,"MEAT & SEAFOOD, FROZEN SHL",Frozen Frozen Frozen Frozen Proteins
655,177031,1791,H-153,His Hands and Feet Ministries,479653,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10079,13,0,0,0.0,338,WHITE,0.0,3/14/2024 11:38,3/15/2024 9:06,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA WALNUT HALVES AND PIECES,Dry Dry Dry Dry Proteins
587,176981,4327,S-139,Shoal Creek Baptist Church,479603,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10277,5,0,0,24.3,135,WHITE,0.18,3/12/2024 9:57,3/12/2024 11:36,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA GARBANZO BEANS,Dry Dry Dry Dry Proteins
587,173113,683,S-139,Shoal Creek Baptist Church,476743,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,79,0,0,14.22,79,WHITE,0.18,1/16/2024 9:57,1/16/2024 11:17,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30528.0,Cleveland,MISC. FOOD BOX SHL,Dry Dry Dry Dry Food Misc.
555,177033,8720,H-151,Helen First Baptist Church,479655,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10305,26,0,0,0.0,364,WHITE,0.0,3/15/2024 9:00,3/18/2024 11:04,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30545.0,Helen,USDA MIXED VegetablesCCC,Dry Dry Dry Dry Vegetables
813,176639,5958,J-111,The Jericho House,479262,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-16-10001,113,0,0,20.34,113,WHITE,0.18,3/4/2024 11:09,3/4/2024 14:28,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30571.0,Sautee - Nacoochee,"COOLER FOOD, MISC. SHL",Cooled Cooled Cooled Cooled Food Misc.
555,180698,1791,H-151,Helen First Baptist Church,483304,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10079,13,0,0,0.0,338,WHITE,0.0,5/17/2024 9:00,5/17/2024 7:20,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30545.0,Helen,USDA WALNUT HALVES AND PIECES,Dry Dry Dry Dry Proteins
985,180604,690,R-133,Revivalist International Ministries,483210,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,31,0,0,0.93,31,WHITE,0.03,5/10/2024 11:01,5/10/2024 11:25,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Rabun,02-SH,30528.0,Cleveland,"ASSORTED BEVERAGES, SHL",Dry Dry Dry Dry Beverages
587,179045,9014,S-139,Shoal Creek Baptist Church,481659,,FP/USDA,FOOD PANTRY-Agency,PURCH,N-27-10136,4,0,208,19.44,108,WHITE,0.18,4/16/2024 9:57,4/16/2024 11:26,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30528.0,Cleveland,"GREEN BEANS, HARVEST VALLEY",Dry Dry Dry Dry Vegetables
440,178721,8970,W-115,White County Food Pantry,FAIMPORT481335,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-16-10001,59,0,0,0.0,59,WHITE,0.0,4/8/2024 0:00,4/8/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30528.0,Cleveland,"MISC. FOOD BOX, SHL RETAIL PICKUP",Dry Dry Dry Dry Food Misc.
