Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
526,179705,1674,T-118,Towns County Food Pantry,482318,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10073,15,0,0,72.9,405,TOWNS,0.18,5/1/2024 15:21,5/1/2024 7:02,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA TOMATO SAUCE,Dry Vegetables
411,181175,690,M-103,Mt. Zion Ministries - The Refuge,483780,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,372,0,0,11.16,372,TOWNS,0.03,5/22/2024 14:31,5/22/2024 8:24,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED BEVERAGES, SHL",Dry Beverages
411,175260,5388,M-103,Mt. Zion Ministries - The Refuge,477889,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,F-16-10001,100,0,0,18.0,100,TOWNS,0.18,2/7/2024 14:31,2/7/2024 8:26,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED FROZEN FOODS, SHL",Frozen Food Misc.
526,179153,8995,T-118,Towns County Food Pantry,481766,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-21-10067,10,0,0,9.0,50,TOWNS,0.18,4/23/2024 15:21,4/23/2024 7:10,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,"RAMEN, MARUCHAN SHRIMP",Dry Prepared Meals
526,177621,6831,T-118,Towns County Food Pantry,480241,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10025,7,0,0,29.4,294,TOWNS,0.1,3/26/2024 15:21,3/26/2024 7:25,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA APPLES,Cooled Fruits
411,175603,5388,M-103,Mt. Zion Ministries - The Refuge,478231,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,F-16-10001,103,0,0,18.54,103,TOWNS,0.18,2/14/2024 14:31,2/14/2024 8:27,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED FROZEN FOODS, SHL",Frozen Food Misc.
411,181911,5938,M-103,Mt. Zion Ministries - The Refuge,484515,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,C-28-10001,248,0,0,7.44,248,TOWNS,0.03,6/5/2024 14:31,6/5/2024 8:33,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"PRODUCE, FRESH SHL",Cooled Mixed Produce
526,178642,8720,T-118,Towns County Food Pantry,481258,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10305,15,0,0,37.8,210,TOWNS,0.18,4/15/2024 15:21,4/15/2024 15:11,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA MIXED VegetablesCCC,Dry Vegetables
526,181423,3712,T-118,Towns County Food Pantry,484027,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10266,10,0,0,48.6,270,TOWNS,0.18,5/31/2024 8:00,5/31/2024 7:04,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA CANNED PINTO BEANS,Dry Proteins
526,181423,6676,T-118,Towns County Food Pantry,484027,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10009,3,0,0,24.3,135,TOWNS,0.18,5/31/2024 8:00,5/31/2024 7:04,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,"USDA APPLES, FRESH",Cooled Fruits
