Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
973,181155,688,G-134,The Grace Foundation: Family Transformation ,483760,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-01-10000,41,0,0,7.38,41,FRANKLIN,0.18,5/21/2024 15:19,5/21/2024 15:26,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED NON-FOOD ITEMS, SHL",Non-Food Misc.
157,178018,2573,N-103,New Beginnings Ministry,480637,,ON PREMISES (OP),REHAB-Agency,GNAP,N-40-10204,10,0,0,0.0,190,FRANKLIN,0.0,4/5/2024 0:00,4/5/2024 10:42,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP CHICKEN & RICE SOUP,Prepared Meals
157,178018,8995,N-103,New Beginnings Ministry,480637,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-21-10067,25,0,0,22.5,125,FRANKLIN,0.18,4/5/2024 0:00,4/5/2024 10:42,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,"RAMEN, MARUCHAN SHRIMP",Prepared Meals
321,182917,8976,R-111,Royston Housing Authority,FAIMPORT485519,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCC-28-10001,17,0,0,0.0,17,FRANKLIN,0.0,6/28/2024 0:00,6/28/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"PRODUCE, SHL RETAIL PICKUPS",Mixed Produce
179,176131,8966,R-100,Rainbow Pantry,478758,,FP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-15-10049,2,0,0,2.16,12,FRANKLIN,0.18,3/7/2024 10:30,3/8/2024 7:51,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,FIRE CRACKER REDHOT PICKLED SAUSAGE,Food Misc.
179,180601,9029,R-100,Rainbow Pantry,483207,,FP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-25-11971,1,0,0,1.44,8,FRANKLIN,0.18,5/23/2024 10:15,5/28/2024 7:55,Price Code 1,TRUCK 1,False,Food Bank of Northeast Georgia,01,30662.0,Royston,BIGS JUMBO SUNFLOWER KERNELS,Proteins
179,182301,8997,R-100,Rainbow Pantry,484905,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10312,15,0,0,32.4,180,FRANKLIN,0.18,6/26/2024 11:30,6/27/2024 13:17,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,USDA CHILI W/ BEANS CCC,Prepared Meals
973,173104,5772,G-134,The Grace Foundation: Family Transformation ,476734,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,C-28-10000,60,0,0,1.8,60,FRANKLIN,0.03,1/16/2024 9:57,1/16/2024 10:08,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"PRODUCE, FRESH LL",Mixed Produce
941,175109,8783,L-117,Lavonia Church of God,477739,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10308,13,0,0,0.0,299,FRANKLIN,0.0,2/8/2024 7:00,2/8/2024 8:39,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,USDA RAISINS,Fruits
973,175745,235,G-134,The Grace Foundation: Family Transformation ,478373,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-03-10012,96,0,0,0.0,96,FRANKLIN,0.0,2/16/2024 10:30,2/16/2024 10:47,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED BEVERAGES, LL",Beverages
